Category,W,F,SF,QF,R16,R32,R64,R128
Jeux olympiques[3],2000,1400,700,350,175,90,45,-
Championnats du monde de tennis de table[4],2000,1400,700,350,175,90,45,10
"Coupe du monde de tennis de table[5],[6]",1500,1050,525,265,100,"40 for 2nd in the group,15 for 3rd in the group",,
WTT Finals[7],1500,1050,525,265,100,-,-,-
Grand Smash[8],2000,1400,700,350,175,90,20,–
WTT Champions[9],1000,700,350,175,90,15,–,–
WTT Star Contender[10],600,420,210,105,55,25,5,–
WTT Contender[11],400,280,140,70,35,4,–,–
"Championnats, jeux et coupe continentaux[12]",500,350,175,90,45,–,–,–
WTT Feeder[13],125,90,45,25,15,8,–,–
