Player ID,Name,Assoc,Gender,Birth year,Activity,Playing hand,Playing style,Grip,Playing_hand_numeric,Playing_style_numeric,Grip_numeric,Style_commonness
145778,AALTONEN Gabriela,SWE,Female,2009.0,Active,Right-handed,Attacker,Shakehand,0,0,0,0
110737,AARAS Pal,NOR,Male,1992.0,Inactive,Right-handed,Attacker,Shakehand,0,0,0,0
145022,AARRAD Wahiba,MAR,Female,2003.0,Active,Right-handed,Attacker,Shakehand,0,0,0,0
116168,AASEBO Anna,NOR,Female,1995.0,Active,Right-handed,Attacker,Shakehand,0,0,0,0
110761,AASEBO Marte,NOR,Female,1990.0,Active,Right-handed,Attacker,Shakehand,0,0,0,0
136164,ABADLI Wafi Chams Eddine,ALG,Male,2007.0,Active,Right-handed,Attacker,Shakehand,0,0,0,0
135207,ABARAVICIUTE Laura,LTU,Female,2004.0,Active,Right-handed,Attacker,Shakehand,0,0,0,0
137295,ABASSIA Cherif,TUN,Male,2006.0,Active,Left-handed,Attacker,Shakehand,1,0,0,1
131710,ABAT Mael,FRA,Male,1999.0,Inactive,Right-handed,Attacker,Shakehand,0,0,0,0
137325,ABBAS Fadhel,BRN,Male,2004.0,Active,Right-handed,Attacker,Shakehand,0,0,0,0
134246,ABBASI Amirreza,IRI,Male,2000.0,Active,Right-handed,Defender,Shakehand,0,1,0,1
111060,ABBAT Alice,FRA,Female,1992.0,Inactive,Right-handed,Attacker,Shakehand,0,0,0,0
144666,ABDALLA Yousif,QAT,Male,2009.0,Active,Right-handed,Attacker,Shakehand,0,0,0,0
100032,ABDEL-AZIZ Farah,EGY,Female,1992.0,Active,Right-handed,Attacker,Shakehand,0,0,0,0
116723,ABDEL-AZIZ Youssef,EGY,Male,2000.0,Active,Left-handed,Attacker,Shakehand,1,0,0,1
122183,ABDELAAL Adham,EGY,Male,2001.0,Active,Left-handed,Attacker,Shakehand,1,0,0,1
137506,ABDELAAL Anas,EGY,Male,2007.0,Active,Right-handed,Attacker,Shakehand,0,0,0,0
133560,ABDELAZIZ Mariam,EGY,Female,2001.0,Active,Left-handed,Attacker,Shakehand,1,0,0,1
135593,ABDELAZIZ Omar,EGY,Male,2005.0,Active,Right-handed,Attacker,Shakehand,0,0,0,0
131037,ABDELFATTAH Farah,EGY,Female,2000.0,Active,Right-handed,Attacker,Shakehand,0,0,0,0
133476,ABDELFATTAH Nour,EGY,Female,2003.0,Active,Right-handed,Attacker,Shakehand,0,0,0,0
145505,ABDELHAMID Mohamed ^^,EGY,Male,2007.0,Active,Right-handed,Attacker,Shakehand,0,0,0,0
145623,ABDELHAMID Youssef ^^,EGY,Male,2004.0,Active,Right-handed,Attacker,Shakehand,0,0,0,0
137393,ABDELHASAN Ahmed,IRQ,Male,1987.0,Active,Left-handed,Attacker,Shakehand,1,0,0,1
137527,ABDELLATIF Mohamed,EGY,Male,2006.0,Active,Right-handed,Attacker,Shakehand,0,0,0,0
137515,ABDELMAOLA Mariam,EGY,Female,2001.0,Active,Right-handed,Attacker,Shakehand,0,0,0,0
