,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Rank 1,WANG Liqin,MA Lin,MA Lin,WANG Hao,WANG Liqin,WANG Liqin,WANG Hao,WANG Hao,WANG Hao,MA Long,MA Long,ZHANG Jike,MA Long,XU Xin,MA Long,MA Long,MA Long,FAN Zhendong,XU Xin,FAN Zhendong
Rank 2,SAMSONOV Vladimir,BOLL Timo,WANG Liqin,WANG Liqin,BOLL Timo,MA Lin,MA Lin,MA Lin,MA Long,BOLL Timo,ZHANG Jike,MA Long,XU Xin,MA Long,FAN Zhendong,FAN Zhendong,FAN Zhendong,XU Xin,FAN Zhendong,XU Xin
Rank 3,MA Lin,WANG Liqin,CHUANG Chih-Yuan,MA Lin,SAMSONOV Vladimir,BOLL Timo,WANG Liqin,MA Long,MA Lin,WANG Hao,WANG Hao,XU Xin,ZHANG Jike,FAN Zhendong,XU Xin,XU Xin,OVTCHAROV Dimitrij,BOLL Timo,MA Long,MA Long
Rank 4,LIU Guozheng,SCHLAGER Werner,WANG Hao,RYU Seungmin,MA Lin,WANG Hao,MA Long,BOLL Timo,BOLL Timo,ZHANG Jike,BOLL Timo,WANG Hao,WANG Hao,ZHANG Jike,OVTCHAROV Dimitrij,ZHANG Jike,XU Xin,LIN Gaoyuan,LIN Gaoyuan,LIN Gaoyuan
Rank 5,KONG Linghui,KONG Linghui,SAMSONOV Vladimir,BOLL Timo,WANG Hao,SAMSONOV Vladimir,BOLL Timo,WANG Liqin,WANG Liqin,MA Lin,XU Xin,BOLL Timo,FAN Zhendong,MIZUTANI Jun,ZHANG Jike,MIZUTANI Jun,BOLL Timo,HARIMOTO Tomokazu,HARIMOTO Tomokazu,HARIMOTO Tomokazu
Rank 6,CHIANG Peng-Lung,SAMSONOV Vladimir,BOLL Timo,CHEN Qi,OH Sangeun,CHEN Qi,SAMSONOV Vladimir,SAMSONOV Vladimir,SAMSONOV Vladimir,SAMSONOV Vladimir,WANG Liqin,MA Lin,OVTCHAROV Dimitrij,WANG Hao,MIZUTANI Jun,OVTCHAROV Dimitrij,LIN Gaoyuan,CALDERANO Hugo,CALDERANO Hugo,CALDERANO Hugo
Rank 7,KIM Taeksoo,CHUANG Chih-Yuan,KREANGA Kalinikos,CHUANG Chih-Yuan,RYU Seungmin,OH Sangeun,CHEN Qi,CHEN Qi,CHEN Qi,WANG Liqin,MA Lin,OVTCHAROV Dimitrij,YAN An,OVTCHAROV Dimitrij,BOLL Timo,WONG Chun Ting,MIZUTANI Jun,LEE Sangsu,LIN Yun-Ju,LIN Yun-Ju
Rank 8,LIU Guoliang,KREANGA Kalinikos,LIU Guozheng,SAMSONOV Vladimir,CHEN Qi,RYU Seungmin,RYU Seungmin,RYU Seungmin,JOO Saehyuk,JOO Saehyuk,MIZUTANI Jun,CHUANG Chih-Yuan,BOLL Timo,CHUANG Chih-Yuan,FREITAS Marcos,SAMSONOV Vladimir,NIWA Koki,WONG Chun Ting,LIANG Jingkun,FALCK Mattias
Rank 9,WALDNER Jan-Ove,SAIVE Jean-Michel,KONG Linghui,SCHLAGER Werner,SAIVE Jean-Michel,SCHLAGER Werner,OH Sangeun,HAO Shuai,HAO Shuai,XU Xin,JOO Saehyuk,WANG Liqin,CHUANG Chih-Yuan,BOLL Timo,CHUANG Chih-Yuan,CHUANG Chih-Yuan,ZHANG Jike,OVTCHAROV Dimitrij,FALCK Mattias,LIANG Jingkun
Rank 10,SCHLAGER Werner,PRIMORAC Zoran,SCHLAGER Werner,KREANGA Kalinikos,KREANGA Kalinikos,CHEN Weixing,GAO Ning,JOO Saehyuk,OH Sangeun,MIZUTANI Jun,OVTCHAROV Dimitrij,MIZUTANI Jun,SAMSONOV Vladimir,YAN An,FANG Bo,JEOUNG Youngsik,LEE Sangsu,NIWA Koki,BOLL Timo,BOLL Timo
Rank 11,ROSSKOPF Jorg,CHIANG Peng-Lung,CHEN Qi,KONG Linghui,CHUANG Chih-Yuan,CHUANG Chih-Yuan,JOO Saehyuk,CHUANG Chih-Yuan,KREANGA Kalinikos,OVTCHAROV Dimitrij,CHUANG Chih-Yuan,SAMSONOV Vladimir,MA Lin,FREITAS Marcos,SAMSONOV Vladimir,BOLL Timo,GAUZY Simon,MA Long,OVTCHAROV Dimitrij,JANG Woojin
Rank 12,KREANGA Kalinikos,WANG Hao,RYU Seungmin,SAIVE Jean-Michel,LIU Guozheng,LI Ching,LI Ching,OH Sangeun,MAZE Michael,CHUANG Chih-Yuan,OH Sangeun,JOO Saehyuk,WANG Liqin,SAMSONOV Vladimir,WONG Chun Ting,FREITAS Marcos,FANG Bo,FALCK Mattias,NIWA Koki,OVTCHAROV Dimitrij
Rank 13,PRIMORAC Zoran,WALDNER Jan-Ove,CHIANG Peng-Lung,CHIANG Peng-Lung,CRISAN Adrian,HOU ^^ Yingchao,HAO Shuai,SCHLAGER Werner,OVTCHAROV Dimitrij,OH Sangeun,CHEN Qi,HAO Shuai,MIZUTANI Jun,NIWA Koki,JEOUNG Youngsik,FANG Bo,CHUANG Chih-Yuan,MIZUTANI Jun,JANG Woojin,JEOUNG Youngsik
Rank 14,BOLL Timo,LIU Guoliang,SMIRNOV Alexey,MAZE Michael,CHEN Weixing,JOO Saehyuk,CHUANG Chih-Yuan,KREANGA Kalinikos,SCHLAGER Werner,CHEN Qi,SAMSONOV Vladimir,JIANG Tianyi,HAO Shuai,GAO Ning,NIWA Koki,LEE Sangsu,WONG Chun Ting,FRANZISKA Patrick,MIZUTANI Jun,WANG Chuqin
Rank 15,SAIVE Jean-Michel,LIU Guozheng,OH Sangeun,LIU Guozheng,HAO Shuai,KREANGA Kalinikos,KREANGA Kalinikos,LI Ching,CHUANG Chih-Yuan,MAZE Michael,RYU Seungmin,OH Sangeun,MATSUDAIRA Kenta,FANG Bo,JOO Saehyuk,JOO Saehyuk,MATSUDAIRA Kenta,JANG Woojin,FRANZISKA Patrick,PITCHFORD Liam
Rank 16,OH Sangeun,RYU Seungmin,SAIVE Jean-Michel,WALDNER Jan-Ove,KONG Linghui,HAO Shuai,SCHLAGER Werner,CHEUNG Yuk,LI Ching,RYU Seungmin,KISHIKAWA Seiya,CHEN Qi,NIWA Koki,JOO Saehyuk,TANG Peng,GAUZY Simon,YAN An,PITCHFORD Liam,WANG Chuqin,FRANZISKA Patrick
Rank 17,MA Wenge,OH Sangeun,JOO Saehyuk,JOO Saehyuk,MAZE Michael,MA Long,HOU ^^ Yingchao,OVTCHAROV Dimitrij,MIZUTANI Jun,HAO Shuai,GAO Ning,CRISAN Adrian,FREITAS Marcos,TANG Peng,YAN An,NIWA Koki,HARIMOTO Tomokazu,CHUANG Chih-Yuan,LEE Sangsu,NIWA Koki
