,Player,Player ID,Assoc,Gender,Birth year,Activity,Playing hand,Playing style,Grip,Playing_hand_numeric,Playing_style_numeric,Grip_numeric,Style_commonness,Win Rate
0,MA Long,105649,CHN,Male,1988.0,Active,Right-handed,Attacker,Shakehand,0,0,0,0,87.16
1,CHUANG Chih-Yuan,101820,TPE,Male,1981.0,Active,Right-handed,Attacker,Shakehand,0,0,0,0,64.38
2,BOLL Timo,101222,GER,Male,1981.0,Active,Left-handed,Attacker,Shakehand,1,0,0,1,78.06
3,OVTCHAROV Dimitrij,107028,GER,Male,1988.0,Active,Right-handed,Attacker,Shakehand,0,0,0,0,71.41
4,FENG Tianwei,102712,SGP,Female,1986.0,Active,Right-handed,Attacker,Shakehand,0,0,0,0,71.05
5,SAMSONOV Vladimir,108246,BLR,Male,1976.0,Active,Right-handed,Attacker,Shakehand,0,0,0,0,73.6
6,XU Xin,110267,CHN,Male,1990.0,Active,Left-handed,Attacker,Penhold,1,0,1,1,85.58
7,LIU Shiwen,105482,CHN,Female,1991.0,Active,Right-handed,Attacker,Shakehand,0,0,0,0,84.75
8,WANG Hao,109961,CHN,Male,1983.0,Active,Right-handed,Attacker,Penhold,0,0,1,1,83.87
9,FAN Zhendong,121404,CHN,Male,1997.0,Active,Right-handed,Attacker,Shakehand,0,0,0,0,87.65
10,ISHIKAWA Kasumi,110752,JPN,Female,1993.0,Active,Left-handed,Attacker,Shakehand,1,0,0,1,67.45
11,ASSAR Omar,100696,EGY,Male,1991.0,Active,Right-handed,Attacker,Shakehand,0,0,0,0,69.78
12,FREITAS Marcos,102841,POR,Male,1988.0,Active,Left-handed,Attacker,Shakehand,1,0,0,1,63.71
13,DING Ning,102265,CHN,Female,1990.0,Active,Left-handed,Attacker,Shakehand,1,0,0,1,84.62
14,MIZUTANI Jun,106195,JPN,Male,1989.0,Active,Left-handed,Attacker,Shakehand,1,0,0,1,68.98
15,MA Lin,105648,CHN,Male,1980.0,Active,Right-handed,Attacker,Penhold,0,0,1,1,83.47
16,POTA Georgina,107525,HUN,Female,1985.0,Active,Right-handed,Attacker,Shakehand,0,0,0,0,56.98
17,CHENG I-Ching,110797,TPE,Female,1992.0,Active,Right-handed,Attacker,Shakehand,0,0,0,0,58.58
18,SAMARA Elizabeta,108226,ROU,Female,1989.0,Active,Left-handed,Attacker,Shakehand,1,0,0,1,59.24
19,ARUNA Quadri,112092,NGR,Male,1988.0,Active,Right-handed,Attacker,Shakehand,0,0,0,0,68.55
20,GARDOS Robert,102968,AUT,Male,1979.0,Active,Right-handed,Attacker,Shakehand,0,0,0,0,56.7
21,OLAH Benedek,110726,FIN,Male,1991.0,Active,Right-handed,Attacker,Shakehand,0,0,0,0,65.49
22,FUKUHARA Ai,102876,JPN,Female,1988.0,Active,Right-handed,Attacker,Shakehand,0,0,0,0,64.39
23,CHEN Meng,112019,CHN,Female,1994.0,Active,Right-handed,Attacker,Shakehand,0,0,0,0,85.82
24,LI Xiaoxia,105350,CHN,Female,1988.0,Active,Right-handed,Attacker,Shakehand,0,0,0,0,83.76
25,PISTEJ Lubomir,107445,SVK,Male,1984.0,Active,Right-handed,Attacker,Shakehand,0,0,0,0,56.96
26,MADRID Marcos,105679,MEX,Male,1986.0,Active,Right-handed,Attacker,Shakehand,0,0,0,0,62.66
27,CALDERANO Hugo,115641,BRA,Male,1996.0,Active,Right-handed,Attacker,Shakehand,0,0,0,0,73.11
28,APOLONIA Tiago,100621,POR,Male,1986.0,Active,Right-handed,Attacker,Shakehand,0,0,0,0,58.45
29,WANG Liqin,109974,CHN,Male,1978.0,Active,Right-handed,Attacker,Shakehand,0,0,0,0,82.58
30,TIE Yana,109421,HKG,Female,1979.0,Active,Right-handed,Attacker,Shakehand,0,0,0,0,64.57
31,GAO Ning,102943,SGP,Male,1982.0,Active,Right-handed,Attacker,Shakehand,0,0,0,0,64.31
32,PAVLOVICH Viktoria,107221,BLR,Female,1978.0,Active,Right-handed,Defender,Shakehand,0,1,0,1,63.23
33,MESHREF Dina,111656,EGY,Female,1994.0,Active,Left-handed,Attacker,Shakehand,1,0,0,1,65.95
34,ITO Mima,117821,JPN,Female,2000.0,Active,Right-handed,Attacker,Shakehand,0,0,0,0,69.92
35,LIU Jia,105469,AUT,Female,1982.0,Active,Left-handed,Attacker,Shakehand,1,0,0,1,62.69
36,LIU Jia,137546,CHN,Male,1999.0,Active,Left-handed,Attacker,Penhold,1,0,1,1,62.69
37,ALAMIYAN Noshad,110673,IRI,Male,1991.0,Active,Left-handed,Attacker,Shakehand,1,0,0,1,63.98
38,GACINA Andrej,102891,CRO,Male,1986.0,Active,Right-handed,Attacker,Shakehand,0,0,0,0,56.14
39,BOBOCICA Mihai,101192,ITA,Male,1986.0,Active,Right-handed,Attacker,Shakehand,0,0,0,0,56.72
40,TSUBOI Gustavo,109581,BRA,Male,1985.0,Active,Left-handed,Attacker,Shakehand,1,0,0,1,62.5
41,NI Xia Lian,106706,LUX,Female,1963.0,Active,Left-handed,Attacker,Penhold,1,0,1,1,66.46
42,HABESOHN Daniel,103345,AUT,Male,1986.0,Active,Right-handed,Attacker,Shakehand,0,0,0,0,56.51
43,YU Mengyu,111628,SGP,Female,1989.0,Active,Right-handed,Attacker,Shakehand,0,0,0,0,61.03
