Year,Playing_Hand_Ratio,Playing_Style_Ratio,Grip_Ratio,Style_Commonness_Ratio
2001,0.36363636363636365,0.15151515151515152,0.12121212121212122,0.5454545454545454
2002,0.2857142857142857,0.11428571428571428,0.11428571428571428,0.45714285714285713
2003,0.3157894736842105,0.10526315789473684,0.10526315789473684,0.5
2004,0.2564102564102564,0.07692307692307693,0.10256410256410256,0.4358974358974359
2005,0.34146341463414637,0.04878048780487805,0.14634146341463414,0.4878048780487805
2006,0.30952380952380953,0.047619047619047616,0.14285714285714285,0.4523809523809524
2007,0.32558139534883723,0.046511627906976744,0.11627906976744186,0.4418604651162791
2008,0.3023255813953488,0.06976744186046512,0.16279069767441862,0.4883720930232558
2009,0.28888888888888886,0.06666666666666667,0.17777777777777778,0.4666666666666667
2010,0.2608695652173913,0.06521739130434782,0.13043478260869565,0.41304347826086957
2011,0.2916666666666667,0.0625,0.14583333333333334,0.4583333333333333
2012,0.3333333333333333,0.0625,0.125,0.4791666666666667
2013,0.30612244897959184,0.061224489795918366,0.12244897959183673,0.4489795918367347
2014,0.30612244897959184,0.061224489795918366,0.08163265306122448,0.40816326530612246
2015,0.24489795918367346,0.061224489795918366,0.04081632653061224,0.32653061224489793
2016,0.2857142857142857,0.04081632653061224,0.04081632653061224,0.3469387755102041
2017,0.28,0.04,0.06,0.36
2018,0.32,0.04,0.04,0.38
2019,0.34,0.06,0.06,0.44
2020,0.3,0.06,0.06,0.4
