Ranking,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Rank 1,"('WANG Liqin', [1, 1, 1, 1])","('MA Lin', [1, 1, 2, 2])","('MA Lin', [1, 1, 2, 2])","('WANG Hao', [1, 1, 2, 2])","('WANG Liqin', [1, 1, 1, 1])","('WANG Liqin', [1, 1, 1, 1])","('WANG Hao', [1, 1, 2, 2])","('WANG Hao', [1, 1, 2, 2])","('WANG Hao', [1, 1, 2, 2])","('MA Long', [1, 1, 1, 1])","('MA Long', [1, 1, 1, 1])","('ZHANG Jike', [1, 1, 1, 1])","('MA Long', [1, 1, 1, 1])","('XU Xin', [2, 1, 2, 2])","('MA Long', [1, 1, 1, 1])","('MA Long', [1, 1, 1, 1])","('MA Long', [1, 1, 1, 1])","('FAN Zhendong', [1, 1, 1, 1])","('XU Xin', [2, 1, 2, 2])","('FAN Zhendong', [1, 1, 1, 1])"
Rank 2,"('SAMSONOV Vladimir', [1, 1, 1, 1])","('BOLL Timo', [2, 1, 1, 2])","('WANG Liqin', [1, 1, 1, 1])","('WANG Liqin', [1, 1, 1, 1])","('BOLL Timo', [2, 1, 1, 2])","('MA Lin', [1, 1, 2, 2])","('MA Lin', [1, 1, 2, 2])","('MA Lin', [1, 1, 2, 2])","('MA Long', [1, 1, 1, 1])","('BOLL Timo', [2, 1, 1, 2])","('ZHANG Jike', [1, 1, 1, 1])","('MA Long', [1, 1, 1, 1])","('XU Xin', [2, 1, 2, 2])","('MA Long', [1, 1, 1, 1])","('FAN Zhendong', [1, 1, 1, 1])","('FAN Zhendong', [1, 1, 1, 1])","('FAN Zhendong', [1, 1, 1, 1])","('XU Xin', [2, 1, 2, 2])","('FAN Zhendong', [1, 1, 1, 1])","('XU Xin', [2, 1, 2, 2])"
Rank 3,"('MA Lin', [1, 1, 2, 2])","('WANG Liqin', [1, 1, 1, 1])","('CHUANG Chih-Yuan', [1, 1, 1, 1])","('MA Lin', [1, 1, 2, 2])","('SAMSONOV Vladimir', [1, 1, 1, 1])","('BOLL Timo', [2, 1, 1, 2])","('WANG Liqin', [1, 1, 1, 1])","('MA Long', [1, 1, 1, 1])","('MA Lin', [1, 1, 2, 2])","('WANG Hao', [1, 1, 2, 2])","('WANG Hao', [1, 1, 2, 2])","('XU Xin', [2, 1, 2, 2])","('ZHANG Jike', [1, 1, 1, 1])","('FAN Zhendong', [1, 1, 1, 1])","('XU Xin', [2, 1, 2, 2])","('XU Xin', [2, 1, 2, 2])","('OVTCHAROV Dimitrij', [1, 1, 1, 1])","('BOLL Timo', [2, 1, 1, 2])","('MA Long', [1, 1, 1, 1])","('MA Long', [1, 1, 1, 1])"
Rank 4,"('LIU Guozheng', [1, 1, 1, 1])","('SCHLAGER Werner', [1, 1, 1, 1])","('WANG Hao', [1, 1, 2, 2])","('RYU Seungmin', [1, 1, 2, 2])","('MA Lin', [1, 1, 2, 2])","('WANG Hao', [1, 1, 2, 2])","('MA Long', [1, 1, 1, 1])","('BOLL Timo', [2, 1, 1, 2])","('BOLL Timo', [2, 1, 1, 2])","('ZHANG Jike', [1, 1, 1, 1])","('BOLL Timo', [2, 1, 1, 2])","('WANG Hao', [1, 1, 2, 2])","('WANG Hao', [1, 1, 2, 2])","('ZHANG Jike', [1, 1, 1, 1])","('OVTCHAROV Dimitrij', [1, 1, 1, 1])","('ZHANG Jike', [1, 1, 1, 1])","('XU Xin', [2, 1, 2, 2])","('LIN Gaoyuan', [2, 1, 1, 2])","('LIN Gaoyuan', [2, 1, 1, 2])","('LIN Gaoyuan', [2, 1, 1, 2])"
Rank 5,"('KONG Linghui', [1, 1, 1, 1])","('KONG Linghui', [1, 1, 1, 1])","('SAMSONOV Vladimir', [1, 1, 1, 1])","('BOLL Timo', [2, 1, 1, 2])","('WANG Hao', [1, 1, 2, 2])","('SAMSONOV Vladimir', [1, 1, 1, 1])","('BOLL Timo', [2, 1, 1, 2])","('WANG Liqin', [1, 1, 1, 1])","('WANG Liqin', [1, 1, 1, 1])","('MA Lin', [1, 1, 2, 2])","('XU Xin', [2, 1, 2, 2])","('BOLL Timo', [2, 1, 1, 2])","('FAN Zhendong', [1, 1, 1, 1])","('MIZUTANI Jun', [2, 1, 1, 2])","('ZHANG Jike', [1, 1, 1, 1])","('MIZUTANI Jun', [2, 1, 1, 2])","('BOLL Timo', [2, 1, 1, 2])","('HARIMOTO Tomokazu', [1, 1, 1, 1])","('HARIMOTO Tomokazu', [1, 1, 1, 1])","('HARIMOTO Tomokazu', [1, 1, 1, 1])"
Rank 6,"('CHIANG Peng-Lung', [2, 1, 1, 2])","('SAMSONOV Vladimir', [1, 1, 1, 1])","('BOLL Timo', [2, 1, 1, 2])","('CHEN Qi', [2, 1, 1, 2])","('OH Sangeun', [1, 1, 1, 1])","('CHEN Qi', [2, 1, 1, 2])","('SAMSONOV Vladimir', [1, 1, 1, 1])","('SAMSONOV Vladimir', [1, 1, 1, 1])","('SAMSONOV Vladimir', [1, 1, 1, 1])","('SAMSONOV Vladimir', [1, 1, 1, 1])","('WANG Liqin', [1, 1, 1, 1])","('MA Lin', [1, 1, 2, 2])","('OVTCHAROV Dimitrij', [1, 1, 1, 1])","('WANG Hao', [1, 1, 2, 2])","('MIZUTANI Jun', [2, 1, 1, 2])","('OVTCHAROV Dimitrij', [1, 1, 1, 1])","('LIN Gaoyuan', [2, 1, 1, 2])","('CALDERANO Hugo', [1, 1, 1, 1])","('CALDERANO Hugo', [1, 1, 1, 1])","('CALDERANO Hugo', [1, 1, 1, 1])"
Rank 7,"('KIM Taeksoo', [1, 2, 1, 2])","('CHUANG Chih-Yuan', [1, 1, 1, 1])","('KREANGA Kalinikos', [1, 1, 1, 1])","('CHUANG Chih-Yuan', [1, 1, 1, 1])","('RYU Seungmin', [1, 1, 2, 2])","('OH Sangeun', [1, 1, 1, 1])","('CHEN Qi', [2, 1, 1, 2])","('CHEN Qi', [2, 1, 1, 2])","('CHEN Qi', [2, 1, 1, 2])","('WANG Liqin', [1, 1, 1, 1])","('MA Lin', [1, 1, 2, 2])","('OVTCHAROV Dimitrij', [1, 1, 1, 1])","('YAN An', [1, 1, 1, 1])","('OVTCHAROV Dimitrij', [1, 1, 1, 1])","('BOLL Timo', [2, 1, 1, 2])","('WONG Chun Ting', [1, 1, 2, 2])","('MIZUTANI Jun', [2, 1, 1, 2])","('LEE Sangsu', [1, 1, 1, 1])","('LIN Yun-Ju', [2, 1, 1, 2])","('LIN Yun-Ju', [2, 1, 1, 2])"
Rank 8,"('LIU Guoliang', [1, 2, 2, 2])","('KREANGA Kalinikos', [1, 1, 1, 1])","('LIU Guozheng', [1, 1, 1, 1])","('SAMSONOV Vladimir', [1, 1, 1, 1])","('CHEN Qi', [2, 1, 1, 2])","('RYU Seungmin', [1, 1, 2, 2])","('RYU Seungmin', [1, 1, 2, 2])","('RYU Seungmin', [1, 1, 2, 2])","('JOO Saehyuk', [1, 2, 1, 2])","('JOO Saehyuk', [1, 2, 1, 2])","('MIZUTANI Jun', [2, 1, 1, 2])","('CHUANG Chih-Yuan', [1, 1, 1, 1])","('BOLL Timo', [2, 1, 1, 2])","('CHUANG Chih-Yuan', [1, 1, 1, 1])","('FREITAS Marcos', [2, 1, 1, 2])","('SAMSONOV Vladimir', [1, 1, 1, 1])","('NIWA Koki', [2, 1, 1, 2])","('WONG Chun Ting', [1, 1, 2, 2])","('LIANG Jingkun', [1, 1, 1, 1])","('FALCK Mattias', [1, 1, 1, 1])"
Rank 9,"('WALDNER Jan-Ove', [1, 1, 1, 1])","('SAIVE Jean-Michel', [1, 1, 1, 1])","('KONG Linghui', [1, 1, 1, 1])","('SCHLAGER Werner', [1, 1, 1, 1])","('SAIVE Jean-Michel', [1, 1, 1, 1])","('SCHLAGER Werner', [1, 1, 1, 1])","('OH Sangeun', [1, 1, 1, 1])","('HAO Shuai', [2, 1, 1, 2])","('HAO Shuai', [2, 1, 1, 2])","('XU Xin', [2, 1, 2, 2])","('JOO Saehyuk', [1, 2, 1, 2])","('WANG Liqin', [1, 1, 1, 1])","('CHUANG Chih-Yuan', [1, 1, 1, 1])","('BOLL Timo', [2, 1, 1, 2])","('CHUANG Chih-Yuan', [1, 1, 1, 1])","('CHUANG Chih-Yuan', [1, 1, 1, 1])","('ZHANG Jike', [1, 1, 1, 1])","('OVTCHAROV Dimitrij', [1, 1, 1, 1])","('FALCK Mattias', [1, 1, 1, 1])","('LIANG Jingkun', [1, 1, 1, 1])"
Rank 10,"('SCHLAGER Werner', [1, 1, 1, 1])","('PRIMORAC Zoran', [1, 1, 1, 1])","('SCHLAGER Werner', [1, 1, 1, 1])","('KREANGA Kalinikos', [1, 1, 1, 1])","('KREANGA Kalinikos', [1, 1, 1, 1])","('CHEN Weixing', [1, 2, 1, 2])","('GAO Ning', [1, 1, 1, 1])","('JOO Saehyuk', [1, 2, 1, 2])","('OH Sangeun', [1, 1, 1, 1])","('MIZUTANI Jun', [2, 1, 1, 2])","('OVTCHAROV Dimitrij', [1, 1, 1, 1])","('MIZUTANI Jun', [2, 1, 1, 2])","('SAMSONOV Vladimir', [1, 1, 1, 1])","('YAN An', [1, 1, 1, 1])","('FANG Bo', [1, 1, 1, 1])","('JEOUNG Youngsik', [1, 1, 1, 1])","('LEE Sangsu', [1, 1, 1, 1])","('NIWA Koki', [2, 1, 1, 2])","('BOLL Timo', [2, 1, 1, 2])","('BOLL Timo', [2, 1, 1, 2])"
